time,0.3_0.7,0.8_0.7,0.1_0.9,1.0_0.2,0.6_0.5,0.6_0.3,0.3_1.0,0.4_0.6,0.1_0.3,0.2_0.9,0.1_0.8,0.7_1.0,0.7_0.1,0.8_0.9,0.8_0.1,0.4_0.3,0.2_0.1,0.4_0.1,0.3_0.2,0.7_0.6,0.3_0.4,0.3_0.5,0.3_0.1,1.0_0.9,0.2_0.6,0.4_0.8,1.0_0.4,0.1_1.0,0.9_0.1,0.7_0.7,0.5_0.6,1.0_0.5,0.5_0.8,1.0_0.1,0.2_0.7,0.2_0.2,1.0_0.6,0.8_0.3,0.9_0.9,0.8_0.2,0.6_0.1,0.4_0.2,0.3_0.8,0.9_0.8,0.7_0.3,0.9_0.2,0.6_0.8,0.9_0.5,0.1_0.4,0.5_1.0,0.6_1.0,0.1_0.2,0.2_1.0,0.9_0.7,0.8_0.6,1.0_1.0,0.7_0.4,0.1_0.5,0.5_0.4,0.9_0.3,0.1_0.7,0.2_0.8,1.0_0.8,0.4_0.9,0.4_0.7,0.6_0.6,0.9_0.4,0.7_0.9,0.3_0.9,0.5_0.2,0.8_0.5,0.7_0.8,0.6_0.2,0.4_0.5,0.9_1.0,0.1_0.6,0.4_0.4,0.7_0.5,0.2_0.4,0.6_0.7,0.3_0.6,0.5_0.9,0.1_0.1,0.5_0.3,0.8_0.8,0.2_0.3,1.0_0.3,0.5_0.7,0.7_0.2,0.5_0.1,1.0_0.7,0.9_0.6,0.8_1.0,0.2_0.5,0.4_1.0,0.5_0.5,0.3_0.3,0.6_0.4,0.6_0.9,0.8_0.4
02:30:00,157025.6,151505.7,163104.7,147678.8,146170.3,153282.9,159984.6,157388.2,149594.0,155981.4,148398.2,172629.8,142225.1,165067.9,154942.1,142672.8,149517.4,146474.0,153574.8,154178.2,149150.2,152137.0,149517.4,147134.5,151267.3,148592.4,153465.1,163091.3,138676.6,151516.5,150165.5,147492.3,159590.7,141778.9,147508.9,149137.0,149716.4,144415.1,151904.6,158875.5,148341.9,141341.4,149601.2,142679.8,143425.6,142675.3,167926.4,146173.8,150024.7,156523.2,152453.5,149150.0,170217.2,142605.6,143931.2,141158.5,155431.1,144396.1,147575.2,134675.3,151279.6,151698.3,151067.4,147285.7,162163.3,146621.3,154949.5,155564.1,159095.2,151263.8,158626.7,153530.3,147234.1,148840.5,158975.6,150191.6,147092.8,151337.9,149580.0,152853.3,151698.3,153932.5,141726.7,149484.7,155287.2,149150.0,151925.9,155757.5,148119.8,151801.6,141289.0,140888.6,147126.2,144409.2,148074.0,146232.3,152244.2,151325.3,153203.8,150023.7
02:45:00,132135.0,137359.3,133582.4,126069.3,136138.6,142515.6,140697.0,132630.2,126487.1,136261.5,142792.9,132972.2,140581.9,130367.7,142807.3,126504.0,137017.6,133604.6,133596.0,140768.8,126043.2,132135.0,137017.6,151239.4,135674.6,132965.4,149371.3,130483.5,126073.1,135227.0,136730.3,131754.7,132236.2,134249.4,131685.0,131813.7,135950.7,130815.4,138322.5,146824.6,129551.5,133160.6,138564.2,130857.8,124299.4,130068.4,133752.7,138431.3,126487.1,142434.3,122952.9,128709.6,126932.3,139117.9,139478.6,136013.2,132205.7,131685.0,130507.1,147801.8,135243.6,140570.0,137234.3,127390.1,142439.7,130835.7,143582.4,124097.9,132703.8,136340.2,121442.6,131363.4,123841.8,140197.8,144886.0,128557.7,143655.1,140399.9,126931.9,129870.8,131685.0,142058.4,134798.7,143445.3,135620.0,130489.5,140148.9,137561.1,127847.7,130066.1,140974.0,140143.5,129013.8,135230.8,128661.0,126068.5,134036.3,143010.4,130772.6,129021.7
03:00:00,106355.6,124197.9,109416.9,113114.2,119226.2,123776.2,112086.9,111646.8,112222.1,113431.8,110305.0,116835.8,125358.4,120812.5,123664.4,123221.9,106453.2,113576.9,103341.1,123455.8,114895.9,112125.8,106453.2,120210.8,117006.8,120041.8,117996.3,112100.5,129858.7,122886.3,116426.9,117431.1,117028.8,128166.3,120561.7,113503.0,140254.9,112166.9,137534.4,117395.5,114210.5,114098.1,114751.0,122283.6,118766.1,120850.6,121480.3,126179.8,112222.1,114816.0,113490.1,116668.2,114331.3,136965.6,138064.9,118364.9,112611.7,115236.8,135795.6,136461.6,113992.1,112569.7,123121.5,113873.1,109539.2,115497.7,119011.9,115701.2,109437.6,120592.6,123883.8,120459.0,116607.9,111203.4,115562.6,120117.7,114904.9,119891.6,117546.9,122166.9,106897.0,124801.1,112309.7,121083.2,123595.9,114436.0,114074.8,115122.7,112163.1,110496.9,129380.5,133440.9,127894.5,111681.8,114163.7,116177.0,111343.0,119609.5,118311.3,118772.8
03:15:00,103428.2,118685.1,105515.7,111827.6,108613.2,106403.9,104209.8,107871.0,115496.0,104217.9,106410.8,105498.5,111088.1,109629.3,113979.4,104965.7,104273.2,110852.2,107534.3,103334.1,110879.6,101628.5,103385.9,104912.6,107299.1,105528.2,101058.5,105945.0,109126.0,112110.7,107419.8,101451.0,104928.3,105734.2,102959.7,111885.2,103168.0,104319.2,123227.5,98106.9,113854.0,102509.8,102430.1,121173.4,113536.0,100301.0,107687.4,132693.7,115077.7,102848.4,103774.1,115064.5,110369.6,100825.3,125416.3,111369.6,119079.5,109121.6,121806.6,113217.8,108205.4,101234.4,108970.8,104205.1,107438.0,101660.0,110973.9,100706.1,102417.8,119365.4,98157.1,105521.3,105567.2,107440.8,110364.2,102553.2,107400.3,101715.6,109752.9,113923.6,101229.6,115172.7,104691.5,116742.1,102951.8,110171.2,103191.4,104217.7,104278.8,110052.1,103297.1,110109.0,109922.7,104759.5,106785.7,115869.7,110200.9,116564.6,111495.3,109974.1
03:30:00,114480.0,109382.2,106513.4,102510.4,111922.6,102359.1,110925.5,121883.0,105887.1,102625.5,109642.5,103692.7,115590.8,112832.9,103451.6,121528.1,110357.9,117331.2,106305.4,109420.3,108248.4,110512.7,105035.6,99813.9,112225.3,101776.8,113404.4,110507.1,120851.2,118949.2,128118.3,108834.6,105959.2,107324.4,114385.3,101562.7,114392.6,103371.8,116857.4,98484.2,119573.2,111214.9,102207.1,111920.1,106480.8,103371.3,109664.5,122502.6,106305.4,105242.4,115405.3,106318.2,110950.4,102876.8,117773.6,99786.4,106454.9,113548.6,101586.3,108989.8,108485.3,112694.5,96865.7,110502.9,107677.7,105453.7,110956.0,110374.6,105755.2,114644.8,115408.3,102337.9,105913.1,115089.3,111158.7,115234.8,108107.2,110234.6,106305.4,121986.2,106329.8,112765.7,113461.2,112463.3,106811.4,115071.9,111088.3,111963.8,111235.6,112582.9,102959.9,108540.0,122328.0,118352.6,111543.7,120042.1,109860.5,120628.9,113987.5,104260.6
03:45:00,102441.8,95085.0,105174.2,105362.6,101341.8,94276.9,101184.2,102071.2,97814.2,105174.2,95971.1,108621.7,109148.5,116860.6,105156.8,104269.5,100316.8,98098.4,93389.1,101289.5,99868.3,104279.3,100316.8,107876.8,96842.9,115762.1,101265.8,101627.7,116647.4,104741.3,97759.3,102471.5,122324.8,119353.5,97693.5,99144.9,104415.7,98719.1,107083.7,92503.8,112636.9,105616.2,107392.6,92909.1,104489.4,96318.6,100872.3,105152.8,95127.6,113085.8,105272.9,94707.3,109171.6,104934.5,98667.7,98091.3,91618.2,99533.2,98980.8,99086.7,99842.1,106021.9,104031.7,112149.1,98983.6,105191.1,95168.7,122013.1,101627.7,94290.5,100365.3,115756.4,99958.2,107486.5,102423.7,95539.5,99867.6,102638.5,95127.6,104249.3,101726.5,102850.0,102062.7,100393.2,115838.4,101314.8,96321.4,98967.0,100368.2,105544.3,99058.5,94726.2,107615.7,99533.2,113169.7,99899.6,94719.3,96862.0,106283.7,104193.0
04:00:00,117694.8,102354.9,107940.4,97908.4,100998.8,97217.7,103770.3,106101.2,112747.9,111314.6,113224.4,100715.5,91827.6,101973.5,104995.2,107371.6,103737.6,92785.4,105695.3,101210.9,114206.4,112807.8,95487.9,103438.9,119993.8,113631.1,95422.2,107321.6,91049.0,88327.3,96032.1,94244.7,104082.2,95801.5,112833.6,109750.7,100027.2,107853.6,91674.4,105355.1,94856.4,104843.2,115360.4,98333.1,108283.6,107479.6,96950.8,103032.7,111171.7,98122.1,106241.4,107529.4,101579.5,102080.0,99553.4,102634.1,93481.8,118126.8,94514.1,99989.6,111690.8,107555.7,89857.7,111845.0,110661.1,104353.7,95386.1,111867.0,105225.3,100015.9,104163.9,96130.9,110087.6,109792.4,104604.5,112122.1,108098.4,111577.5,111519.9,97787.1,119019.9,92095.2,113714.4,102633.8,93869.2,114041.7,100132.4,92283.3,99657.6,94012.6,101605.2,95479.3,107047.6,118887.0,103671.7,103068.0,107844.9,91842.7,102368.6,101338.4
04:15:00,112788.8,100571.2,107495.1,109915.2,113467.8,104181.9,99184.3,105330.4,115617.7,103427.4,113044.0,101374.2,96721.6,100363.7,96791.8,125197.6,114757.9,116345.2,112591.4,101773.8,110960.9,108412.2,118663.1,101195.3,105594.4,109404.3,101067.9,107236.8,97652.2,105498.3,101712.3,102053.0,107421.9,101441.5,106856.4,109255.5,100135.8,103295.5,99917.9,97455.1,101954.8,107503.8,109699.1,115214.5,107229.9,105196.5,97979.1,104305.4,115022.5,98893.3,103618.3,110789.1,100583.8,117665.6,107424.8,97115.5,105669.2,110471.2,101593.3,104109.7,112944.1,105185.2,103468.5,110473.3,106023.5,107001.8,101983.7,105209.0,104998.2,112308.1,101127.1,114295.4,115282.0,113905.0,101211.0,110295.4,108570.3,103856.3,113116.5,99973.9,113982.0,98133.1,112994.9,112520.8,121332.3,115053.4,108345.6,105249.8,111340.7,103681.8,100481.6,96540.4,105434.4,109358.5,103235.3,112056.1,114411.5,101279.0,95424.1,103862.2
04:30:00,80786.5,83451.9,74633.0,94551.0,88014.8,83247.0,78731.1,81811.0,96123.7,74514.2,76149.6,75944.1,90126.1,74084.2,89733.6,82057.8,96059.1,105869.5,98725.6,80969.2,87917.9,83575.7,96692.5,77797.0,82837.6,74930.2,77942.0,73424.1,89219.8,81066.2,87391.5,86523.6,80295.6,88726.7,82022.0,94675.1,86494.5,90344.9,83713.3,94176.5,89612.8,94560.1,74922.1,80116.3,95172.1,95750.8,81373.1,81605.3,90748.8,72619.5,82116.9,99306.4,84113.2,82055.2,78217.2,76723.8,87630.1,83942.6,87982.6,97090.1,86081.1,82225.1,77447.6,81003.8,81186.7,83456.1,84502.9,82432.6,78559.7,87341.1,83831.0,79420.5,95848.9,78689.2,80214.9,82553.1,82732.6,81894.7,85896.9,81380.2,83814.5,80528.8,93864.5,85461.2,92769.0,95953.4,102747.9,81321.5,105287.2,93512.9,85233.5,83756.7,76490.4,86785.5,71775.3,84291.8,91298.5,86304.1,77729.7,89234.2
04:45:00,84783.8,89219.3,80907.6,100771.1,93843.5,88793.2,78741.1,85771.0,90950.1,80737.1,84472.8,80446.1,94778.5,80242.7,100399.0,91976.0,95635.9,104009.2,95997.3,88665.5,89839.1,85681.3,93168.2,92811.7,84459.6,82679.4,95524.0,79172.4,98148.6,83058.9,88634.3,98192.0,92138.8,97602.6,83288.9,94736.8,90678.2,91748.3,86188.5,93367.7,95103.9,98727.4,81766.2,85817.8,99739.3,100036.7,88350.7,92860.4,89445.6,79739.0,82701.7,93991.7,83640.2,87952.7,89448.4,86253.2,99330.8,86664.5,93261.8,92390.7,84060.9,81898.6,100571.6,82110.0,83812.4,86481.6,93741.8,87449.3,80340.0,96668.6,86079.8,92894.4,100467.4,87024.9,87886.8,83607.6,90146.8,86767.1,88848.5,83645.5,84597.2,81185.3,97241.4,91176.1,90978.4,89862.9,98065.1,88036.3,100963.5,95129.1,91396.1,88088.1,86779.5,87651.8,80680.4,96717.7,91017.4,90438.2,86116.8,97951.3
